# CLASS_ID	DISPLAY_NAME (Gold/Silver/Crystal trainer classes; leaders, elite four, rival and champions keyed by character)
BEAUTY	BEAUTY
BIKER	BIKER
BIRD_KEEPER	BIRD KEEPER
BLACKBELT_T	BLACKBELT
BLAINE	LEADER
BLUE	LEADER
BOARDER	BOARDER
BROCK	LEADER
BRUNO	ELITE FOUR
BUGSY	LEADER
BUG_CATCHER	BUG CATCHER
BURGLAR	BURGLAR
CAL	<PK><MN> TRAINER
CAMPER	CAMPER
CHAMPION	CHAMPION
CHUCK	LEADER
CLAIR	LEADER
COOLTRAINERF	COOLTRAINER
COOLTRAINERM	COOLTRAINER
ERIKA	LEADER
EXECUTIVEF	ROCKET
EXECUTIVEM	ROCKET
FALKNER	LEADER
FIREBREATHER	FIREBREATHER
FISHER	FISHER
GENTLEMAN	GENTLEMAN
GRUNTF	ROCKET
GRUNTM	ROCKET
GUITARIST	GUITARIST
HIKER	HIKER
JANINE	LEADER
JASMINE	LEADER
JUGGLER	JUGGLER
KAREN	ELITE FOUR
KIMONO_GIRL	KIMONO GIRL
KOGA	ELITE FOUR
LASS	LASS
LT_SURGE	LEADER
MEDIUM	MEDIUM
MISTY	LEADER
MORTY	LEADER
MYSTICALMAN	MYSTICALMAN
OFFICER	OFFICER
PICNICKER	PICNICKER
POKEFANF	POKéFAN
POKEFANM	POKéFAN
POKEMANIAC	POKéMANIAC
POKEMON_PROF	POKéMON PROF.
PRYCE	LEADER
PSYCHIC_T	PSYCHIC
RED	<PK><MN> TRAINER
RIVAL1	RIVAL
RIVAL2	RIVAL
SABRINA	LEADER
SAGE	SAGE
SAILOR	SAILOR
SCHOOLBOY	SCHOOLBOY
SCIENTIST	SCIENTIST
SKIER	SKIER
SUPER_NERD	SUPER NERD
SWIMMERF	SWIMMER♀
SWIMMERM	SWIMMER♂
TEACHER	TEACHER
TWINS	TWINS
WHITNEY	LEADER
WILL	ELITE FOUR
YOUNGSTER	YOUNGSTER
